owner_id,genre
biels09,Pop
j56o61v49o50jtej2b9cqptjm,Pop
spotify,Pop
27d103o3ymbwx8jp9ctithyau,Pop
hotamazingnetwork,Pop
11100064211,Pop
mru0bvq37q97y9qcr7lz6ghv9,Pop
6n2tcrdaprmet7ferrms32vlv,Rock
tj8rp8zo2okkb7y1fja7edtzm,Rock
3164uhrgkvnkzepvs5y3pks5ycem,Rock
31f36rqurzdwmda6ia3emmtr7mgy,Rock
vmyffyt7enytyziidugm7v8s6,Rock
31ghytxkzwjujfmvtf5cwjomoeru,Rock
igwk7xdcivotqrpkucc99egnm,Rock
31ek6tiinx7zdpczlbhkmfqjkm2y,Rock
kimerikhansen,Rock
kgnndhi5ad56st5rp5undloei,Rock
31kyobuqh7hip3545a7qdifegg4u,Rock
mixiliux,Hip hop
31ham6gzd2gyp45ofzbddvwnk7fi,Hip hop
12176239306,Hip hop
9tj6qwakyk5ulp7xxsj8qia6h,Hip hop
marius.eisemo,Hip hop
11155631417,Hip hop
217ov6nkiotudyyev5k5yx2qa,Hip hop
y02gh7o4wyov94fxfob0rcgg1,Hip hop
3vllbdwf7eburkzypresogbi0,Hip hop
quasetest,Hip hop
wlf3n20i5jg1jvvvckpn9pdff,EDM
11154757151,EDM
ywuydivm5d8upiut8z0ylm4sh,EDM
tribaltrap,EDM
maka_97,EDM
magicmusicsquad,EDM
dailymixfr,EDM
31xud4oqfvjzq4crwtij3dqlvqou,EDM
9ckag8g5foxl6d9ermletctnt,Country
listanauta,Country
31heeg5wrzm67nrgtehxz23z2mmq,Country
1276364988,Country
ega8qsbfcoq7h4wx7mp2v7vbc,Country
31ipb5phynwgjy6ddknzvhdbt5qq,Country
4ep8autsij86dx69wq4zc8rsk,Country
1210272152,Country
m.brooks1,Country
1271948723,Country
1118152730,Country
c5t5qilurs57du1c0u95fgoo7,Country
larrystout22,Country
ddog291isboss,Country
iliasdeverakis,Country
43xzlwfo0tft7hn5r5e6dksrd,Country
c0rkms2hvn1a2byf029z2my4l,Jazz
11100700164,Jazz
ubskwnd3gm7da3k3wrfqfz5jg,Jazz
11166529246,Jazz
11129250432,Jazz
horliafakis,Jazz
21hk4tbhczzbfoawn3umst7ea,Jazz
s00111,Jazz
g5zofp0pdshmizjw4ghs6se3u,Jazz
charles.exley,Jazz
31xwkqztlfqe4nzedrtlgauxmbrq,Latin
12142273751,Latin
zf0z8xpqwli3kds26xxot7uzv,Latin
31xqlsiqyuaijbfobh5pa2qvtz4a,Latin
3163dce6relumxsztvye7jdysfky,Latin
nysepagkhid6s7td2sr1ac2tv,Latin
q73pg3kxec61smy49g7ikrmrd,Latin
bookocd,Latin
21suvt7kp2aworjmtkk5zlpcq,Latin
ntvfrjvpi9ek6mxf45k1lw17r,Latin
31l4a7iij4t63dqdp6rolbov6gxq,Latin
31t6jxp3m4cumwes35wslojtex7e,Latin
zy6q7yim7xlqs0he83qbm5swv,Latin
31xoggvhgkjquvuiolmeyg5lksye,Latin
kostas_v4n,Latin
21pzxpfaqgx6niboph66qaida,Indie
315zc5yui5iy72esattgqdyi3gfm,Indie
billybonkers-1,Indie
5qv43odid1g1ja7gcp12nw6nq,Indie
1236388590,Indie
6dg86lchgm3uxkelgvjcjp9fb,Indie
3137yqzbdg2vrvah6xtox5ho5jhq,Indie
7fisag7epirc9pr10iv2nyt80,Indie
1185646304,Indie
ansadesigner,Indie
