id,name,artists,release_date,popularity,duration_ms,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0CraBBTipNqDatEHNcvb3j,Small Talk,Isla-Maria,2024-10-25,33,156375,,0.655,0.532,8,-7.632,1,0.0427,0.443,0,0.255,0.641,119.957
7qvsl2pYzrsYgPeFBN5jxp,Juicy,"Doja Cat, Tyga",2019-08-15,42,202333,"dance pop, pop",0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,2019-08-23,89,178426,pop,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
4mDLApzbhjNSutiW2EOakg,How I Look On You,Ariana Grande,2019-11-01,51,174426,pop,0.407,0.52,4,-7.33,0,0.201,0.2,0.000199,0.0878,0.411,169.758
3DmW6y7wTEYHJZlLo1r6XJ,Shower,Becky G,2014-04-23,75,206166,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino",0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987
6htSbGyNOKHMFGdymwdbwS,Final Ending,Deborah Fitz,2024-10-18,22,211250,,0.649,0.399,10,-7.741,1,0.0387,0.174,3.2e-06,0.104,0.367,90.036
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,2022-12-09,77,153946,"pop, r&b, rap",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022-06-03,75,192840,"dfw rap, melodic rap, pop, rap",0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964
2rPE9A1vEgShuZxxzR2tZH,"thank u, next",Ariana Grande,2018-11-03,18,207333,pop,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96
2sITbbWIOeg2Lwp4WN2jqr,Fly Girl (feat. Missy Elliott),"FLO, Missy Elliott",2023-03-23,60,205384,,0.682,0.837,8,-3.683,0,0.0839,0.389,0,0.171,0.703,103.885
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,2024-02-22,85,186191,"pop, r&b, rap",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937
61KpQadow081I2AsbeLcsb,deja vu,Olivia Rodrigo,2021-04-01,10,215507,pop,0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088
72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,"Elton John, Britney Spears",2022-08-26,69,202245,"glam rock, mellow gold, piano rock, rock",0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,2022-05-20,87,167303,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
49FYlytm3dAAraYgpoJZux,Umbrella,"Rihanna, JAY-Z",2008-06-02,81,275986,"barbadian pop, pop, urban contemporary",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034
1GhbQDYGEOjyFwfT8lojcx,California Gurls,"Katy Perry, Snoop Dogg",2010-01-01,69,234653,pop,0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,2022-07-15,86,163648,pop,0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992
1Rweq7vNjK4kZBbGrmxQsl,bye,Ariana Grande,2024-03-08,74,164927,pop,0.606,0.645,2,-4.835,0,0.0333,0.204,0,0.14,0.453,110.016
60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,2019-11-07,81,226986,"dance pop, pop",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035
